1021	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	5	4	5	
Non-Redundancy	5	5	4	
Referential Clarity	4	5	4	
Focus	4	5	3	
Structure	3	4	3	Most sentences seem to be really meaningless for a summary and without any context, respectively
Coherence	4	4	4	
Readability	4	4	4	
Information Content	3	5	5	No information in the last sentence. Probably due the missing context. Also sentence 5 and the end of sentence 1 are not holding any information
Spelling	2	4	4	Coding errors in the first sentence. No closing double quotes in sentence 1 and 5. Space before the period in the last sentence
Length	3	5	4	
Overall Quality	3	5	3	
